Campaign,ASN / Name,US,Count,,,,,,
Accellion File Transfer Appliance (FTA),AS-COLOCROSSING,,1,,,,,,
Accellion File Transfer Appliance (FTA),CROWNCLOUD,AU,1,,,,,,
Accellion File Transfer Appliance (FTA),GHOST,LU,1,,,,,,
Accellion File Transfer Appliance (FTA),HZ-US-AS,BG,1,,,,,,
Accellion File Transfer Appliance (FTA),TIER-NET,US,1,,,,,,
Accellion File Transfer Appliance (FTA),WORLDSTREAM,NL,1,,,,,,
SolarWinds Serv-U,ACI-1,CA,1,,,,,,
SolarWinds Serv-U,ASN-CXA-ALL-CCI-22773-RDC,US,1,,,,,,
SolarWinds Serv-U,HOSTKEY-AS,NL,1,,,,,,
SolarWinds Serv-U,IT7NET,CA,1,,,,,,
SolarWinds Serv-U,LAYER7-NETWORKS-,DE,2,,,,,,
SolarWinds Serv-U,TWC-11427-TEXAS,US,1,,,,,,
SolarWinds Serv-U,VIANET INC 5690,CA,1,,,,,,
Fortra GoAnywhere MFT,AMAZON-02,US,1,,,,,,
Fortra GoAnywhere MFT,AS-ALVIVA,SC,2,,,,,,
Fortra GoAnywhere MFT,AS-COLOCROSSING,US,1,,,,,,
Fortra GoAnywhere MFT,BANDWIDTH-AS,GB,1,,,,,,
Fortra GoAnywhere MFT,BT-UK-AS BTnet UK Regional network,GB,1,,,,,,
Fortra GoAnywhere MFT,CLOUDFLARENET,US,4,,,,,,
Fortra GoAnywhere MFT,COMCAST-7922,US,1,,,,,,
Fortra GoAnywhere MFT,DATACAMPUS,HK,3,,,,,,
Fortra GoAnywhere MFT,DATAHOME S.A.,PA,3,,,,,,
Fortra GoAnywhere MFT,DIGITALOCEAN-ASN,US,2,,,,,,
Fortra GoAnywhere MFT,FDCSERVERS,US,3,,,,,,
Fortra GoAnywhere MFT,GHOST,LU,1,,,,,,
Fortra GoAnywhere MFT,GREENFLOID-AS,US,2,,,,,,
Fortra GoAnywhere MFT,HORMELFOODS,US,1,,,,,,
Fortra GoAnywhere MFT,HOSTROYALE,IN,1,,,,,,
Fortra GoAnywhere MFT,HZ-CA-AS,BG,1,,,,,,
Fortra GoAnywhere MFT,HZ-EU-AS,BG,3,,,,,,
Fortra GoAnywhere MFT,HZ-UK-AS,BG,2,,,,,,
Fortra GoAnywhere MFT,HZ-US-AS,BG,5,,,,,,
Fortra GoAnywhere MFT,I-LAN-AS,UA,1,,,,,,
Fortra GoAnywhere MFT,ITLDC-EU,US,1,,,,,,
Fortra GoAnywhere MFT,M247,RO,1,,,,,,
Fortra GoAnywhere MFT,MICROSOFT-CORP-MSN-AS-BLOCK,US,1,,,,,,
Fortra GoAnywhere MFT,OVH,FR,4,,,,,,
Fortra GoAnywhere MFT,PANDG,US,1,,,,,,
Fortra GoAnywhere MFT,SOLLUTIUM-NL,PL,1,,,,,,
Fortra GoAnywhere MFT,THCPROJECTS,RO,1,,,,,,
Fortra GoAnywhere MFT,THE-HOSTING,MD,1,,,,,,
Fortra GoAnywhere MFT,TIF-AS Iliad Italia S.p.A,FR,1,,,,,,
Fortra GoAnywhere MFT,TWC-10796-MIDWEST,US,1,,,,,,
Fortra GoAnywhere MFT,TWC-11426-CAROLINAS,US,1,,,,,,
Fortra GoAnywhere MFT,VNPT-AS-VN VNPT Corp,VN,2,,,,,,
Fortra GoAnywhere MFT,XMISSION,US,1,,,,,,
PaperCut MF/NG,AMAZON-02,US,2,,,,,,
PaperCut MF/NG,AS-GLOBALTELEHOST,US,2,,,,,,
PaperCut MF/NG,ASNET,US,1,,,,,,
PaperCut MF/NG,DATACAMPUS,HK,1,,,,,,
PaperCut MF/NG,GREENFLOID-AS,US,1,,,,,,
PaperCut MF/NG,HETZNER-AS,DE,1,,,,,,
PaperCut MF/NG,HEXTET,CA,1,,,,,,
PaperCut MF/NG,Host-Africa-AS,ZA,1,,,,,,
PaperCut MF/NG,KREZ999AS,BG,1,,,,,,
PaperCut MF/NG,M247,RO,1,,,,,,
PaperCut MF/NG,NETWAVE-AS-AP,US,1,,,,,,
PaperCut MF/NG,NOVOSERVE-AS,NL,1,,,,,,
PaperCut MF/NG,OVH,FR,1,,,,,,
PaperCut MF/NG,SHARP-ASN,US,1,,,,,,
PaperCut MF/NG,SS-NET,BG,1,,,,,,
Progress MOVEit Transfer,AS-ALVIVA,SC,5,,,,,,
Progress MOVEit Transfer,AS-COLOCROSSING,US,3,,,,,,
Progress MOVEit Transfer,CLOUVIDER Clouvider - Global ASN,GB,3,,,,,,
Progress MOVEit Transfer,CROWNCLOUD,AU,3,,,,,,
Progress MOVEit Transfer,DATACAMPUS,HK,2,,,,,,
Progress MOVEit Transfer,DELTAHOST-AS,UA,1,,,,,,
Progress MOVEit Transfer,DELTAHOST-KYIV,UA,1,,,,,,
Progress MOVEit Transfer,DIGITALOCEAN-ASN,US,2,,,,,,
Progress MOVEit Transfer,FLYSERVERS-ASN,PA,1,,,,,,
Progress MOVEit Transfer,GHOST,LU,1,,,,,,
Progress MOVEit Transfer,GLOBALCOMPASS,US,2,,,,,,
Progress MOVEit Transfer,GLOBALLAYER,NL,5,,,,,,
Progress MOVEit Transfer,HOSTING-SOLUTIONS,US,3,,,,,,
Progress MOVEit Transfer,HOSTKEY-AS,NL,3,,,,,,
Progress MOVEit Transfer,HZ-EU-AS,BG,5,,,,,,
Progress MOVEit Transfer,HZ-UK-AS,BG,2,,,,,,
Progress MOVEit Transfer,HZ-US-AS,BG,2,,,,,,
Progress MOVEit Transfer,INOVARE-AS str. Uzinelor 21 of. 37,MD,5,,,,,,
Progress MOVEit Transfer,ITLDC-EU,US,1,,,,,,
Progress MOVEit Transfer,LAYER7-NETWORKS-,DE,1,,,,,,
Progress MOVEit Transfer,OVH,FR,2,,,,,,
Progress MOVEit Transfer,RELIABLESITE,US,2,,,,,,
Progress MOVEit Transfer,SERVER-MANIA,CA,2,,,,,,
Progress MOVEit Transfer,SOLLUTIUM-NL,PL,2,,,,,,
Progress MOVEit Transfer,SONICASN,LB,1,,,,,,
Progress MOVEit Transfer,THCPROJECTS,RO,4,,,,,,
Progress MOVEit Transfer,THE-HOSTING,MD,1,,,,,,
Progress MOVEit Transfer,WORLDSTREAM,NL,6,,,,,,
